formula,class,Tc,reduced formula
Ag0.002Al0.998,other,1.128,Ag1Al499
Ag0.005Zn0.995,other,0.763,Ag1Zn199
Ag0.035Cd0.01Sn0.955,other,3.65,Ag7.0000000000000Cd2Sn191
Ag0.03Tl0.97,other,2.67,Ag3Tl97
Ag0.05Rh0.04Ti0.91,other,1.95,Ag5Rh4Ti91
Ag0.12In0.88,other,4.69,Ag3In22
Ag0.15Bi0.85,other,5.3,Ag3Bi17
Ag0.15Pb0.975Sn0.01,other,7.25,Ag30Pb195Sn2
Ag0.167Al0.833,other,0.88,Ag167Al833
Ag0.1In0.9Te1,other,1.2,Ag1In9Te10
Ag0.1Tl0.9,other,3.57,Ag1Tl9
Ag0.25Cu0.75Ba2Ca3Cu4O11,CuO,117.1,Ag1Cu3Ba8Ca12Cu16O44
Ag0.2In0.8Te1,other,0.77,Ag1In4Te5
Ag0.438Hg0.562,other,0.64,Ag219Hg281.000000000000
Ag0.45Ge0.55,other,1.5,Ag9Ge11
Ag0.625Al0.375,other,0.106,Ag5Al3
Ag0.65Al0.35,other,0.1,Ag13Al7
Ag0.667Al0.333,other,0.126,Ag667Al333
Ag0.6Al0.4,other,0.088,Ag3Al2
Ag0.76Sn1.24Se2,other,6.72,Ag19Sn31Se50
Ag0.775Sn0.225,other,0.09,Ag31Sn9
Ag0.795Sn0.205,other,0.09,Ag159Sn41
Ag0.7Al0.3,other,0.11,Ag7Al3
Ag0.7Mo3Se4,other,5.96,Ag7Mo30Se40
Ag0.7Mo4Se5,other,5.96,Ag7Mo40Se50
Ag0.7Zn0.3,other,0.0125,Ag7Zn3
Ag0.815Sn0.185,other,0.06,Ag8149.9999999999Sn1850
Ag0.81In0.19,other,0.0074,Ag81.000000000000In19
Ag0.81Sn1.19Se2,other,6.36,Ag81.000000000000Sn119Se200
Ag0.81Sn1.19Se2,other,6.47,Ag81.000000000000Sn119Se200
Ag0.825Sn0.175,other,0.055,Ag33Sn7
Ag0.828Ga0.172,other,0.116,Ag920Ga191.11111111111
Ag0.82Sn0.18,other,0.066,Ag41Sn9
Ag0.835Sn0.165,other,0.047,Ag167Sn33
Ag0.845Sb0.155,other,0.037,Ag169Sb31
Ag0.845Sn0.155,other,0.025,Ag169Sn31
Ag0.85Sn1.15Se2,other,6.12,Ag17Sn23Se40
Ag0.85Sn1.15Se2,other,6.23,Ag17Sn23Se40
Ag0.865Sb0.135,other,0.028,Ag173Sb27
Ag0.875Ga0.125,other,0.019,Ag7Ga1
Ag0.885Sb0.115,other,0.019,Ag177Sb23
Ag0.8Ga0.2,other,6.5,Ag4Ga1
Ag0.92Sn1.08Se2,other,5.57,Ag23Sn27Se50
Ag0.94Tl0.06,other,2.32,Ag47Tl3
Ag0.95Sn1.05Se2,other,5.21,Ag19Sn21Se40
Ag0.95Sn1.05Se2,other,5.28,Ag19Sn21Se40
Ag0.9Ga0.1,other,0.0065,Ag9Ga1
Ag0.9Sn1.1Se1.8S0.2,other,6.79,Ag9Sn11Se18S2
Ag1.2Mo4.8S6,other,8.9,Ag1Mo4S5
Ag1B2,other,6.7,Ag1B2
Ag1Ba2Ca2Cu3O9,CuO,110,Ag1Ba2Ca2Cu3O9
Ag1Ba2Ca3Cu4O11,CuO,117,Ag1Ba2Ca3Cu4O11
Ag1Ba2Ca4Cu5O13,CuO,105,Ag1Ba2Ca4Cu5O13
Ag1Ba2Ca5Cu6O15,CuO,80,Ag1Ba2Ca5Cu6O15
Ag1Bi1,other,2.78,Ag1Bi1
Ag1Bi2,other,3,Ag1Bi2
Ag1In2,other,2.3,Ag1In2
Ag1In2,other,2.4,Ag1In2
Ag1La1,other,0.96,Ag1La1
Ag1La1,other,1.06,Ag1La1
Ag1La1,other,1.2,Ag1La1
Ag1Mo4S5,other,7.7,Ag1Mo4S5
Ag1Mo4S5,other,7.77,Ag1Mo4S5
Ag1Mo4S5,other,8.3,Ag1Mo4S5
Ag1Mo6S8,other,7.7,Ag1Mo6S8
Ag1Nb3,other,8.28,Ag1Nb3
Ag1Sn1Se1.8S0.2,other,5.79,Ag5Sn5Se9S1
Ag1Sn1Se2,other,4.55,Ag1Sn1Se2
Ag1Sn1Se2,other,4.66,Ag1Sn1Se2
Ag1Sn1Se2,other,4.7,Ag1Sn1Se2
Ag1Sn1Se2,other,4.71,Ag1Sn1Se2
Ag1Te3,other,2.6,Ag1Te3
Ag1Tl1,other,2.67,Ag1Tl1
Ag2F1,other,0.066,Ag2F1
Ag2I1,other,0.066,Ag2I1
Ag2In1,other,2.11,Ag2In1
Ag2Pb3S1,other,1.13,Ag2Pb3S1
Ag2Pd3S1,other,1.13,Ag2Pd3S1
Ag3.3Al1,other,0.34,Ag33Al10
Ag4Ge1,other,0.85,Ag4Ge1
Ag5Pb2O6,other,0.048,Ag5Pb2O6
Ag5Pb2O6,other,0.0524,Ag5Pb2O6
Ag7B4F4O8,other,0.15,Ag7B4F4O8
Ag7F0.25N0.75O10.25,other,1.04,Ag28F1N3O41
Ag7F1O8,other,0.3,Ag7F1O8
Ag7F2H1O8,other,1.5,Ag7F2H1O8
Ag7F4O8B1,other,0.15,Ag7F4O8B1
Ag7H1F2O8,other,1.38,Ag7H1F2O8
Ag7N0.75O10.25F0.25,other,0.85,Ag28N3O41F1
Ag7N1O11,other,1.025,Ag7N1O11
Ag7N1O11,other,1.04,Ag7N1O11
Al0.005V0.995,other,4.82,Al1V199
Al0.01Au0.92In0.07,other,0.0278,Al1Au92In7.0000000000000
Al0.01Nb0.97O0.02,other,8.3,Al1Nb97O2
Al0.01V0.99,other,4.49,Al1V99
Al0.029Ti0.971,other,0.65,Al29Ti971
Al0.02Au0.92Ga0.06,other,0.158,Al1Au46Ga3
Al0.02Au0.92In0.06,other,0.034,Al1Au46In3
Al0.02V0.98,other,4.05,Al1V49
Al0.03Au0.92In0.05,other,0.045,Al3Au92In5
Al0.03Ti0.81V0.16,other,5.1,Al3Ti81.000000000000V16
Al0.046In0.151Sn0.803,other,4.38,Al46In151Sn803.00000000000
Al0.04Au0.92Ga0.04,other,0.101,Al1Au23Ga1
Al0.04Au0.92In0.04,other,0.0555,Al1Au23In1
Al0.04Nb0.895O0.06,other,7.1,Al8Nb179O12
Al0.04V0.96,other,3.31,Al1V24
