symbol,atomic_number,topogivity,atomic_radius,atomic_volume,boiling_point,density,dipole_polarizability,electron_affinity,valance_main,evaporation_heat,fusion_heat,group_id,lattice_constant,period,series_id,specific_heat,thermal_conductivity,vdw_radius,covalent_radius_pyykko,en_pauling,en_allen,heat_of_formation,c6,en_ghosh,c6_gb,atomic_weight,mendeleev_number,dipole_polarizability_unc,pettifor_number,glawe_number,column,atomic_masses,valence_d,valence_s,unfilled_f,valence_p,unfilled_d,valence_f,unfilled,T_boil,cohesive_energy,polarizability,electron_binding_energy,ionization_energy,en,lambda,ar,Tc,mag,ve,mp
H,1,0,79,14.1,20.28,0.0708,4.50711,0.754195,1,0.904,0.117,1,3.75,1,1,,0.1815,110,32,2.2,13.61,217.998,6.499026705,0.2638,6.51,1.008,105,3.00E-05,103,103,1,1.008,0,1,0,0,0,0,1,20.13,,0.666793,13.6,13.5984,2.2,,37,,1,1,14.01
He,2,0,,31.8,4.216,0.147,1.38375,-19.7,2,0.08,,18,3.57,1,2,5.188,0.152,140,46,,24.59,,1.42,0.442712,1.47,4.002602,112,2.00E-05,1,1,18,4.0026,0,2,0,0,0,0,0,4.07,,0.2050522,24.6,24.5873,,,32,,0,2,
Li,3,0.49,155,13.1,1118.15,0.534,164.1125,0.618049,1,148,2.89,1,3.49,2,3,3.489,84.8,182,133,0.98,5.392,159.3,1392,0.105093,1410,6.94,1,0.0005,12,12,1,6.94,0,1,0,0,0,0,1,1615,1.63,24.335,54.7,0.98,0.98,0.363,134,0.0004,1,1,453.69
Be,4,0.915,112,5,3243,1.848,37.74,-2.4,2,309,12.21,2,2.29,2,4,1.824,201,153,102,1.57,9.323,324,227,0.144986,214,9.0121831,75,0.03,77,77,2,9.01218,0,2,0,0,0,0,0,2743,3.32,5.6,111.5,9.3227,1.57,0.034,90,0.026,0,2,1560
B,5,0.889,98,4.6,3931,2.34,20.5,0.279723,3,504.5,23.6,13,8.73,2,5,1.025,27.4,192,85,2.04,12.13,565,99.5,0.184886,99.2,10.81,81,0.1,86,86,13,10.81,0,2,0,1,0,0,5,4273,5.81,3.03,188,8.298,2.04,,82,,1,3,2348
C,6,-0.277,91,5.3,5100,2.25,11.3,1.262119,4,,,14,3.57,2,1,0.711,1.59,170,75,2.55,15.05,716.87,46.6,0.224776,47.9,12.011,87,0.2,95,87,14,12.011,0,2,0,2,0,0,4,4300,7.37,1.67,284.2,11.2603,2.55,0.27,77,,2,4,3823
N,7,-2.873,92,17.3,77.4,0.808,7.4,-1.4,5,,,15,4.039,2,1,,0.026,155,71,3.04,18.13,472.44,24.2,0.26493,25.7,14.007,93,0.2,100,88,15,14.007,0,2,0,3,0,0,3,77.21,4.92,1.1,37.3,14.5341,3.04,,75,,3,5,63.05
O,8,-3.368,,14,90.19,1.149,5.3,1.4611135,6,,,16,6.83,2,1,,0.027,152,63,3.44,21.36,249.229,15.6,0.304575,16.7,15.999,99,0.2,101,97,16,15.999,0,2,0,4,0,0,2,90.1,2.6,0.802,41.6,13.618,3.44,,73,,2,6,54.8
F,9,-2.061,,17.1,85.01,1.108,3.74,3.4011897,7,6.54,0.51,17,,2,6,,0.028,147,64,3.98,24.8,79.335,9.52,0.344443,10.2,18.99840316,106,0.08,102,102,17,18.9984,0,2,0,5,0,0,1,84.88,0.84,0.557,696.7,8.5,3.98,,71,,1,7,53.5
Ne,10,0,,16.8,27.1,1.204,2.6611,,8,1.74,,18,4.43,2,2,1.029,,154,67,,28.31,,6.2,0.38439,6.91,20.1797,113,3.00E-05,2,2,18,20.1797,0,2,0,6,0,0,0,26.92,0.02,0.39432,21.6,21.5645,,,69,,0,8,24.56
